Fonte,processamento,consulta,total,linhas
stock_investments_100,5.0256876945495605,8.547029495239258,13.572717189788818,19048
stock_investments_95,4.273370027542114,8.067620038986206,12.34099006652832,19048
stock_investments_90,4.789116859436035,8.807615995407104,13.59673285484314,21429
stock_investments_85,4.815643787384033,8.751545906066895,13.567189693450928,21429
stock_investments_80,5.286868095397949,9.504846811294556,14.791714906692505,23810
stock_investments_75,5.194864988327026,9.35577940940857,14.550644397735596,23810
stock_investments_70,5.761264801025391,10.30467939376831,16.0659441947937,26191
stock_investments_65,6.356482982635498,10.573732137680054,16.93021512031555,28572
stock_investments_60,6.9531261920928955,11.105945587158203,18.0590717792511,30953
stock_investments_55,8.056205749511719,13.229692697525024,21.285898447036743,33334
stock_investments_50,8.54513168334961,13.92215371131897,22.46728539466858,35715
stock_investments_45,9.236083030700684,14.20976734161377,23.445850372314453,40477
stock_investments_40,10.514382123947144,15.94467282295227,26.459054946899414,45239
stock_investments_35,11.389027833938599,17.007474184036255,28.396502017974854,50001
stock_investments_30,13.609290361404419,18.348552227020264,31.957842588424683,59525
stock_investments_25,16.76839542388916,21.5300874710083,38.29848289489746,71430
stock_investments_20,20.55965781211853,24.173431873321533,44.73308968544006,88097
stock_investments_15,27.452964067459106,31.424383878707886,58.87734794616699,116669
stock_investments_10,40.88023853302002,46.53247427940369,87.4127128124237,173813
stock_investments_5,113.45120549201965,88.48852133750916,201.9397268295288,347626
