5;58,73200011253357;50
10;10,99399995803833;50
15;21,549000024795532;50
20;12,25;50
5;594,4099998474121;100
10;686,0880000591278;100
15;12,056999921798706;100
20;12,27400016784668;100
5;3936,5220000743866;150
10;4694,226999998093;150
15;16,098000049591064;150
20;11132,121000051498;150
15,62.58400011062622,50
15,28.074999809265137,100
15,38.4060001373291,150
15,20.039000034332275,200
20,26.306999921798706,50
20,28.838000059127808,100
25,58.40499997138977,50
30,49.23899984359741,50
25,59.67799997329712,100
30,76.02999997138977,100

5,142.09429998397826,50
10,24.553999996185304,50
15,52.08220000267029,50
20,28.977800011634827,50
25,55.643400001525876,50
30,49.47590000629425,50
