5,3.401358127593994
5,500.3652744293213
days, time, scenarios
5,3.3633224964141846,1000
5,3.433802843093872,1000
5,4.17879319190979,1000

5,2.7573294639587402,1000
5,4.629576921463013,2000
5,83.4883816242218,3000
5,100.82355117797852,4000
5,60.60942029953003,5000
10,6.371923208236694,1000
10,193.18092012405396,2000
10,151.84435772895813,3000
10,406.7406144142151,4000
10,250.20225524902344,5000
15,190.53451490402222,1000
15,314.589138507843,2000
15,601.2428104877472,3000
15,945.370139837265,4000
15,3044.013298034668,5000
20,238.2975561618805,1000
20,342.0828890800476,2000
20,755.9841437339783,3000
20,700.2279441356659,4000
20,911.1678130626678,5000
